model,alpha_mean,alpha_sd,kappa_mean,kappa_sd,prior_label,alpha_median,alpha_q05,alpha_q95,kappa_median,kappa_q05,kappa_q95,omega_median,omega_q05,omega_q95,seu_rate_uncertain_mean,seu_rate_uncertain_sd,seu_rate_uncertain_q05,seu_rate_uncertain_q95,seu_rate_risky_mean,seu_rate_risky_sd,seu_rate_risky_q05,seu_rate_risky_q95,seu_rate_combined_mean,seu_rate_combined_sd,n_ok,n_failed,fail_rate
m_3,0.0,1.0,0.0,0.25,"α~LN(0.0,1.0), κ~LN(0.0,0.25)",0.98212129,0.1547418575,5.035491144999997,0.95192432,0.6476201075,1.5010890149999994,0.93377694,0.15867859850000002,7.173577864999998,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.4547,0.10861562707292373,0.35,0.7,0.4359666666666666,0.09327265289342733,200,0,0.0
m_3,0.0,1.0,0.0,0.5,"α~LN(0.0,1.0), κ~LN(0.0,0.5)",0.98212129,0.1547418575,5.035491144999997,0.90616034,0.4194120765,2.2533223599999985,0.87566113,0.131828621,7.832420774999998,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.45813333333333334,0.11732842792776181,0.3431666666666667,0.7106666666666664,0.43768333333333337,0.0955831211854664,200,0,0.0
m_3,0.0,1.0,0.0,0.75,"α~LN(0.0,1.0), κ~LN(0.0,0.75)",0.98212129,0.1547418575,5.035491144999997,0.8625968900000001,0.271620034,3.382601694999996,0.872693615,0.11021615250000001,8.907119994999972,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.46395000000000003,0.1299038437118437,0.3398333333333334,0.770833333333333,0.4405916666666667,0.09897641378687708,200,0,0.0
m_3,0.0,1.0,0.0,1.0,"α~LN(0.0,1.0), κ~LN(0.0,1.0)",0.98212129,0.1547418575,5.035491144999997,0.82112814,0.1759069335,5.077959929999992,0.886706315,0.0827790652,13.845963199999975,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.4703,0.14278740607397186,0.3398333333333334,0.8211666666666663,0.44376666666666664,0.10242236083980881,200,0,0.0
m_3,0.0,1.0,0.5,0.25,"α~LN(0.0,1.0), κ~LN(0.5,0.25)",0.98212129,0.1547418575,5.035491144999997,1.56945785,1.067745065,2.474877384999999,1.5395379,0.261616776,11.827229949999998,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.49765,0.13318942129330108,0.3566666666666667,0.7806666666666665,0.45744166666666675,0.1047789839906415,200,0,0.0
m_3,0.0,1.0,0.5,0.5,"α~LN(0.0,1.0), κ~LN(0.5,0.5)",0.98212129,0.1547418575,5.035491144999997,1.4940058,0.6914936055,3.7151004599999973,1.44372115,0.21734866,12.913478899999998,0.4172333333333333,0.08511959560263169,0.3398333333333334,0.5376666666666663,0.50115,0.1417997796190107,0.35650000000000004,0.8101666666666667,0.45919166666666666,0.10702452697863234,200,0,0.0
m_3,0.0,1.0,-0.5,0.25,"α~LN(0.0,1.0), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,0.0,1.0,-0.5,0.5,"α~LN(0.0,1.0), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,0.0,1.5,0.0,0.25,"α~LN(0.0,1.5), κ~LN(0.0,0.25)",0.9733557450000001,0.06087566230000001,11.29978664999999,0.95192432,0.6476201075,1.5010890149999994,0.92268231,0.06316107915,15.336024449999982,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.4820166666666667,0.15438620314724444,0.3431666666666667,0.8374999999999997,0.46167500000000006,0.1380686722753894,200,0,0.0
m_3,0.0,1.5,0.0,0.5,"α~LN(0.0,1.5), κ~LN(0.0,0.5)",0.9733557450000001,0.06087566230000001,11.29978664999999,0.90616034,0.4194120765,2.2533223599999985,0.913645295,0.05671268250000001,21.97365414999997,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.48455,0.16166466579517821,0.33666666666666667,0.8548333333333329,0.46294166666666664,0.1405522814451777,200,0,0.0
m_3,0.0,1.5,0.0,0.75,"α~LN(0.0,1.5), κ~LN(0.0,0.75)",0.9733557450000001,0.06087566230000001,11.29978664999999,0.8625968900000001,0.271620034,3.382601694999996,0.819415455,0.04786466295,21.920215549999995,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.48788333333333334,0.16766208658422982,0.3333333333333333,0.8833333333333333,0.4646083333333333,0.14172968965800903,200,0,0.0
m_3,0.0,1.5,0.0,1.0,"α~LN(0.0,1.5), κ~LN(0.0,1.0)",0.9733557450000001,0.06087566230000001,11.29978664999999,0.82112814,0.1759069335,5.077959929999992,0.8352138,0.04702973815000001,23.13383434999988,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.49213333333333337,0.17420774316251783,0.3333333333333333,0.9201666666666667,0.46673333333333333,0.14263968202743896,200,0,0.0
m_3,0.0,1.5,0.5,0.25,"α~LN(0.0,1.5), κ~LN(0.5,0.25)",0.9733557450000001,0.06087566230000001,11.29978664999999,1.56945785,1.067745065,2.474877384999999,1.52124595,0.104135013,25.28482934999997,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.5247333333333333,0.17597517501688192,0.353,0.9068333333333333,0.48303333333333326,0.14725900840205178,200,0,0.0
m_3,0.0,1.5,0.5,0.5,"α~LN(0.0,1.5), κ~LN(0.5,0.5)",0.9733557450000001,0.06087566230000001,11.29978664999999,1.4940058,0.6914936055,3.7151004599999973,1.5063464500000001,0.09350340635,36.22843129999995,0.44133333333333336,0.12692517480783708,0.3365,0.7154999999999992,0.5259666666666667,0.18090592705725383,0.353,0.92,0.4836500000000001,0.1486355899881018,200,0,0.0
m_3,0.0,1.5,-0.5,0.25,"α~LN(0.0,1.5), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,0.0,1.5,-0.5,0.5,"α~LN(0.0,1.5), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,0.0,2.0,0.0,0.25,"α~LN(0.0,2.0), κ~LN(0.0,0.25)",0.9647038299999999,0.023949699400000003,25.357340649999973,0.95192432,0.6476201075,1.5010890149999994,0.90966345,0.02401141,32.790286299999934,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5086333333333333,0.1900640798374181,0.3333333333333333,0.9433333333333334,0.48825833333333335,0.17485734642050996,200,0,0.0
m_3,0.0,2.0,0.0,0.5,"α~LN(0.0,2.0), κ~LN(0.0,0.5)",0.9647038299999999,0.023949699400000003,25.357340649999973,0.90616034,0.4194120765,2.2533223599999985,0.8719515449999999,0.025179795350000003,51.46093769999997,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5081333333333333,0.19219713259509824,0.3333333333333333,0.9406666666666664,0.4880083333333333,0.1752226914449787,200,0,0.0
m_3,0.0,2.0,0.0,0.75,"α~LN(0.0,2.0), κ~LN(0.0,0.75)",0.9647038299999999,0.023949699400000003,25.357340649999973,0.8625968900000001,0.271620034,3.382601694999996,0.85325099,0.020431095950000002,60.345733699999975,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5104500000000001,0.1966778746806282,0.33316666666666667,0.9533333333333334,0.4891666666666667,0.1759933710872846,200,0,0.0
m_3,0.0,2.0,0.0,1.0,"α~LN(0.0,2.0), κ~LN(0.0,1.0)",0.9647038299999999,0.023949699400000003,25.357340649999973,0.82112814,0.1759069335,5.077959929999992,0.76678261,0.0173788318,61.34711989999998,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5130833333333333,0.20056501785926897,0.33,0.9536666666666666,0.4904833333333333,0.1762519180352688,200,0,0.0
m_3,0.0,2.0,0.5,0.25,"α~LN(0.0,2.0), κ~LN(0.5,0.25)",0.9647038299999999,0.023949699400000003,25.357340649999973,1.56945785,1.067745065,2.474877384999999,1.49978145,0.03958812255,54.06204169999989,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5477833333333333,0.20656510340433704,0.3431666666666667,0.9669999999999999,0.5078333333333334,0.18149892867758508,200,0,0.0
m_3,0.0,2.0,0.5,0.5,"α~LN(0.0,2.0), κ~LN(0.5,0.5)",0.9647038299999999,0.023949699400000003,25.357340649999973,1.4940058,0.6914936055,3.7151004599999973,1.4376051,0.04151446435,84.84474249999995,0.4678833333333333,0.16417577893492355,0.33316666666666667,0.8835,0.5467500000000001,0.2085298906099022,0.3461666666666667,0.9668333333333333,0.5073166666666666,0.18168736808656297,200,0,0.0
m_3,0.0,2.0,-0.5,0.25,"α~LN(0.0,2.0), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,0.0,2.0,-0.5,0.5,"α~LN(0.0,2.0), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,2.0,1.0,0.0,0.25,"α~LN(2.0,1.0), κ~LN(0.0,0.25)",7.2569493000000005,1.1433962750000002,37.20752654999998,0.95192432,0.6476201075,1.5010890149999994,6.89973015,1.172485055,53.00596904999999,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.6969333333333333,0.1698660779686293,0.43,0.9535,0.6543083333333334,0.1632636141592282,200,0,0.0
m_3,2.0,1.0,0.0,0.5,"α~LN(2.0,1.0), κ~LN(0.0,0.5)",7.2569493000000005,1.1433962750000002,37.20752654999998,0.90616034,0.4194120765,2.2533223599999985,6.4703092,0.974089105,57.87419654999999,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.6930333333333334,0.17818722675258677,0.41633333333333333,0.9601666666666666,0.6523583333333335,0.1644714833016485,200,0,0.0
m_3,2.0,1.0,0.0,0.75,"α~LN(2.0,1.0), κ~LN(0.0,0.75)",7.2569493000000005,1.1433962750000002,37.20752654999998,0.8625968900000001,0.271620034,3.382601694999996,6.44838205,0.8143933225,65.81520909999979,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.68885,0.18886314783755753,0.3963333333333333,0.9668333333333333,0.6502666666666667,0.16581779156652643,200,0,0.0
m_3,2.0,1.0,0.0,1.0,"α~LN(2.0,1.0), κ~LN(0.0,1.0)",7.2569493000000005,1.1433962750000002,37.20752654999998,0.82112814,0.1759069335,5.077959929999992,6.5519227,0.6116591510000001,102.30859499999983,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.6855333333333333,0.19930781330505948,0.37983333333333336,0.9735,0.6486083333333335,0.16674696211625567,200,0,0.0
m_3,2.0,1.0,0.5,0.25,"α~LN(2.0,1.0), κ~LN(0.5,0.25)",7.2569493000000005,1.1433962750000002,37.20752654999998,1.56945785,1.067745065,2.474877384999999,11.375732,1.93310104,87.39206869999998,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.7706666666666666,0.15872232917197812,0.4633333333333333,0.9736666666666666,0.6911750000000001,0.15627253593037746,200,0,0.0
m_3,2.0,1.0,0.5,0.5,"α~LN(2.0,1.0), κ~LN(0.5,0.5)",7.2569493000000005,1.1433962750000002,37.20752654999998,1.4940058,0.6914936055,3.7151004599999973,10.667736000000001,1.60600139,95.41841924999999,0.6116833333333334,0.16336598228109384,0.38983333333333337,0.9039999999999998,0.7637333333333334,0.16763470868395827,0.4565,0.9769999999999999,0.6877083333333335,0.15790102714992071,200,0,0.0
m_3,2.0,1.0,-0.5,0.25,"α~LN(2.0,1.0), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,2.0,1.0,-0.5,0.5,"α~LN(2.0,1.0), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,2.5,1.0,0.0,0.25,"α~LN(2.5,1.0), κ~LN(0.0,0.25)",11.9646865,1.885141765,61.34484044999997,0.95192432,0.6476201075,1.5010890149999994,11.375732,1.93310104,87.39206869999998,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.7706666666666666,0.15872232917197812,0.4633333333333333,0.9736666666666666,0.7285333333333333,0.1590472990444457,200,0,0.0
m_3,2.5,1.0,0.0,0.5,"α~LN(2.5,1.0), κ~LN(0.0,0.5)",11.9646865,1.885141765,61.34484044999997,0.90616034,0.4194120765,2.2533223599999985,10.667736000000001,1.60600139,95.41841924999999,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.7637333333333334,0.16763470868395827,0.4565,0.9769999999999999,0.7250666666666666,0.16040208505156311,200,0,0.0
m_3,2.5,1.0,0.0,0.75,"α~LN(2.5,1.0), κ~LN(0.0,0.75)",11.9646865,1.885141765,61.34484044999997,0.8625968900000001,0.271620034,3.382601694999996,10.631584499999999,1.34270759,108.51093999999965,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.7562833333333334,0.17945973782439334,0.433,0.9833333333333333,0.7213416666666668,0.16212732457855464,200,0,0.0
m_3,2.5,1.0,0.0,1.0,"α~LN(2.5,1.0), κ~LN(0.0,1.0)",11.9646865,1.885141765,61.34484044999997,0.82112814,0.1759069335,5.077959929999992,10.802294,1.0084554190000001,168.6783589999997,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.7485833333333334,0.1926644860026535,0.4098333333333333,0.9868333333333333,0.7174916666666666,0.16402362613524782,200,0,0.0
m_3,2.5,1.0,0.5,0.25,"α~LN(2.5,1.0), κ~LN(0.5,0.25)",11.9646865,1.885141765,61.34484044999997,1.56945785,1.067745065,2.474877384999999,18.755411000000002,3.18714477,144.08516499999996,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.8342666666666666,0.13896128957375142,0.5296666666666667,0.9901666666666666,0.7603333333333333,0.1479438707378203,200,0,0.0
m_3,2.5,1.0,0.5,0.5,"α~LN(2.5,1.0), κ~LN(0.5,0.5)",11.9646865,1.885141765,61.34484044999997,1.4940058,0.6914936055,3.7151004599999973,17.588124,2.64784872,157.31837599999997,0.6864,0.16523396207263874,0.41983333333333334,0.9436666666666665,0.8273333333333334,0.1477080453687837,0.513,0.9933333333333333,0.7568666666666667,0.1496503851574655,200,0,0.0
m_3,2.5,1.0,-0.5,0.25,"α~LN(2.5,1.0), κ~LN(-0.5,0.25)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,2.5,1.0,-0.5,0.5,"α~LN(2.5,1.0), κ~LN(-0.5,0.5)",,,,,,,,,,,,,,,,,,,,0,200,1.0
m_3,3.0,0.75,0.0,0.25,"α~LN(3.0,0.75), κ~LN(0.0,0.25)",19.8153305,4.9554282050000005,67.51697319999997,0.95192432,0.6476201075,1.5010890149999994,19.1987125,4.78317599,94.14938859999994,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.84915,0.11151581726374066,0.6165,0.9801666666666666,0.8099416666666667,0.11548224701225726,200,0,0.0
m_3,3.0,0.75,0.0,0.5,"α~LN(3.0,0.75), κ~LN(0.0,0.5)",19.8153305,4.9554282050000005,67.51697319999997,0.90616034,0.4194120765,2.2533223599999985,18.355894,4.3543404400000005,96.55933069999976,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.8400166666666667,0.12493487081053249,0.5930000000000001,0.9801666666666666,0.805375,0.11868661319954234,200,0,0.0
m_3,3.0,0.75,0.0,0.75,"α~LN(3.0,0.75), κ~LN(0.0,0.75)",19.8153305,4.9554282050000005,67.51697319999997,0.8625968900000001,0.271620034,3.382601694999996,18.353429499999997,3.09960318,144.1635809999998,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.8295333333333335,0.14132391478051012,0.5266666666666666,0.9868333333333333,0.8001333333333334,0.12230021804286914,200,0,0.0
m_3,3.0,0.75,0.0,1.0,"α~LN(3.0,0.75), κ~LN(0.0,1.0)",19.8153305,4.9554282050000005,67.51697319999997,0.82112814,0.1759069335,5.077959929999992,19.534129,2.2740807,177.06431549999982,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.8157333333333334,0.16143803764912407,0.4766666666666667,0.99,0.7932333333333336,0.12770154440900253,200,0,0.0
m_3,3.0,0.75,0.5,0.25,"α~LN(3.0,0.75), κ~LN(0.5,0.25)",19.8153305,4.9554282050000005,67.51697319999997,1.56945785,1.067745065,2.474877384999999,31.653326,7.88612404,155.2260974999999,0.7707333333333333,0.126417808168874,0.5395000000000001,0.9469999999999998,0.9031999999999999,0.08165839413883506,0.7198333333333333,0.9933333333333333,0.8369666666666666,0.10032900876615895,200,0,0.0
